negative_testimonial,positive_testimonial,category
"La depresión es no vislumbrar ningún futuro y no tener respuesta para ninguno de los problemas de tu vida.","El optimismo es ver múltiples caminos hacia adelante y saber que cada problema tiene diversas soluciones que puedo descubrir.",Future Outlook
"Cuando tienes depresión, nada te divierte, nada te hace sonreír.","Cuando estás conectado con la vida, encuentras alegría en las pequeñas cosas y tu sonrisa surge naturalmente.",Emotional Resilience
"Sientes que eres como un fantasma...que no eres parte del mundo real.","Te sientes presente y vivo, sabiendo que eres una parte valiosa y tangible de este mundo.",Self-Worth
"Es como ahogarse, mientras puedes ver que todo el mundo a tu alrededor está respirando.","Es como nadar con confianza, sabiendo que puedes flotar cuando estás cansado y seguir adelante cuando recuperas fuerzas.",Emotional Resilience
"La depresión es un lugar oscuro del que no se puede escapar.","La esperanza es un espacio luminoso que siempre está accesible, incluso cuando temporalmente no podemos verlo.",Future Outlook
"La depresión es la incapacidad para construir o imaginar un futuro.","La resiliencia es la capacidad de visualizar y construir múltiples futuros posibles, paso a paso.",Future Outlook
"Deslizarse en una depresión es como caer en un pozo oscuro y sin fondo.","Crecer en resiliencia es como escalar una montaña: cada paso te da una vista más amplia y clara del horizonte.",Self-Reflection/Growth
"La depresión me ha robado mi confianza y ya no me siento merecedora del amor.","La autoestima me ha enseñado que soy digna de amor y que mi valor es inherente e incondicional.",Self-Worth
"Es como estar atrapada en una caja de la que no puedes salir.","Es como tener las llaves de todas las puertas, sabiendo que siempre puedes elegir un nuevo camino.",Emotional Resilience
"Estás debajo de un suelo de cristal, gritando y golpeando.","Estás en un puente de cristal, conectando con otros y tendiendo la mano a quienes lo necesitan.",Social Impact
"Emociones múltiples: miedo, desesperación, vacío.","Emociones diversas: valentía, esperanza, plenitud, todas válidas y enriquecedoras.",Emotional Resilience
"La depresión es perder el deseo de tomar parte en la vida.","La vitalidad es sentir el impulso de participar y contribuir activamente en la vida.",Social Impact
"Para el resto del mundo es como un agua pacífica, pero hay un tsunami rugiendo por debajo.","Como un río que fluye con fuerza: las aguas pueden ser turbulentas, pero siempre encuentran su cauce.",Emotional Resilience
"La depresión te hace sentir que eres una actriz que te interpreta a ti misma.","La autenticidad te permite ser genuinamente tú misma, con tus fortalezas y vulnerabilidades.",Self-Worth
"Estar deprimido es como tener una visión de túnel.","Tener perspectiva es ver el panorama completo: los desafíos y las oportunidades por igual.",Future Outlook
"Un cáncer del alma.","Una fuerza vital del espíritu que crece y se fortalece con cada experiencia.",Self-Reflection/Growth
"Es como vivir entre la niebla todo el tiempo.","Es como vivir bajo un cielo claro donde cada día trae nueva luz y posibilidades.",Future Outlook
"Es como vivir en un túnel oscuro sin luz al final.","Es como caminar por un sendero donde cada paso revela nuevas vistas y horizontes.",Future Outlook
"Sentirse completamente sola, incluso si estás rodeada de gente.","Sentirse conectada y apoyada, sabiendo que formas parte de una red de relaciones significativas.",Social Impact
"Una desesperanza completa.","Una confianza profunda en que siempre hay alternativas y posibilidades por descubrir.",Future Outlook
"Es como sentir un duelo por alguien que una vez amaste: tú misma.","Es celebrar y nutrir a la persona que eres, reconociendo tu continuo crecimiento y evolución.",Self-Worth
"Sentirse dormida en el interior.","Sentirse despierta y vibrante, consciente de cada momento y sensación.",Emotional Resilience
"Sentirse oscura, sola, asustada.","Sentirse iluminada, conectada y valiente, incluso en momentos de incertidumbre.",Self-Worth
"Es como ser el prisionero y el carcelero al mismo tiempo.","Es ser tanto el guía como el explorador de tu propio camino de crecimiento.",Self-Reflection/Growth
"Despertarse a otro día de desánimo.","Despertar cada día como una nueva oportunidad para crecer y experimentar.",Future Outlook
"Solo quieres levantarte en un campo y gritar.","Puedes expresar tus emociones de manera constructiva, sabiendo que cada sentimiento es válido.",Emotional Resilience
"Como si tu mente estuviera paralizada.","Como si tu mente fuera un jardín en constante florecimiento, lleno de nuevas ideas y posibilidades.",Self-Reflection/Growth
"Es como caer en un pozo o un agujero oscuro.","Es como escalar una montaña: cada paso te acerca más a la cumbre y te da una mejor perspectiva.",Self-Reflection/Growth
"Me hace sentir como una pequeña semilla en el fondo de una maceta.","Soy como una semilla que crece fuerte, extendiendo sus raíces y alcanzando la luz.",Self-Worth
"Estar deprimido es que te hayan arrebatado todas tus emociones.","Estar vivo es experimentar todo el espectro de emociones, sabiendo que cada una tiene su propósito.",Emotional Resilience
"Es una bola de plomo de diez toneladas en tus tripas.","Es una fuente de energía en tu interior que te impulsa hacia adelante.",Emotional Resilience
"Es un ladrón...que te quita todo y te deja morir.","Es un regalo que te permite apreciar y cultivar todo lo valioso en tu vida.",Self-Worth
"Es como tratar de respirar mientras estás envuelta en alquitrán.","Es como respirar aire fresco en la cima de una montaña, sintiendo la libertad en cada inspiración.",Emotional Resilience
"Es algo más doloroso que cualquier dolor físico.","Es una fuerza interior más potente que cualquier adversidad externa.",Self-Reflection/Growth
"La depresión es despertarte deseando haber muerto mientras dormías.","La vida es despertar agradeciendo la oportunidad de experimentar un nuevo día.",Future Outlook
